cell	nCount_SCT	nFeature_SCT	seurat_clusters
X157_184	25315	5795	0
X140_184	23961	4957	7
X156_178	24503	6035	11
X140_170	25063	5471	6
X137_163	24972	6031	9
X160_179	25302	5882	10
X154_174	25127	6238	5
X116_179	25124	6269	3
X155_177	24459	5977	11
X137_170	23712	4673	0
X122_182	23749	5056	2
X122_171	24059	5265	3
X143_167	25190	6550	5
X134_181	24433	5536	7
X125_194	25307	6034	3
X147_185	25299	5902	5
X156_174	24849	6118	11
X137_185	25223	5596	7
X148_187	25006	6390	5
X128_165	25255	6432	3
X129_164	25163	6451	3
X142_169	24900	5570	5
X151_186	25128	5692	5
X121_176	23814	4765	4
X142_168	25007	5706	5
X160_177	24542	5940	11
X156_181	24786	6111	5
X143_191	24672	5603	0
X157_182	25311	6068	5
X153_193	23743	4781	0
X137_175	23726	5004	6
X145_191	23704	5274	0
X135_160	24353	5554	3
X151_185	25227	6232	8
X155_186	23757	5143	5
X138_168	25260	5989	6
X115_185	25157	6026	3
X134_194	25299	5758	6
X149_193	23766	4879	0
X143_194	23262	3845	6
X144_189	25194	5613	0
X129_175	23631	4714	13
X136_162	24073	5583	3
X138_176	23728	4829	7
X128_190	24033	4403	4
X147_161	24148	5887	0
X120_187	25276	5502	9
X125_173	23676	4738	4
X137_180	23961	4125	7
X147_168	25168	6736	6
X126_171	23708	5297	4
X138_190	25124	5205	7
X136_176	23697	4888	6
X121_190	24324	5157	9
X147_184	25316	5763	5
X147_171	25104	6473	5
X124_175	23749	4725	4
X138_158	24023	3674	1
X127_192	23634	4017	4
X143_173	25236	6217	0
X138_193	23741	4722	6
X130_181	23707	5249	2
X128_193	24078	4176	1
X131_179	25314	5634	6
X118_193	24035	3994	1
X150_180	24673	6230	8
X136_166	23985	5483	4
X144_161	25108	6567	3
X134_166	23688	5384	9
X117_181	25159	6339	9
X139_180	23734	4604	7
X133_179	23897	5365	2
X149_183	25219	5838	8
X152_171	25146	6247	8
X120_178	23740	4806	4
X144_187	23701	5006	5
X138_194	23543	3737	1
X136_195	23763	4211	6
X140_162	25288	5546	9
X154_187	25293	5670	5
X159_179	25247	5702	11
X139_192	23740	4980	6
X152_192	25201	6394	0
X141_190	23742	4723	7
X130_170	23700	5146	2
X133_161	25206	5837	1
X161_178	25213	6157	10
X141_163	25134	6188	4
X158_185	24107	4150	0
X153_191	25273	5889	0
X119_187	24127	5127	9
X120_171	23739	4736	3
X120_170	23263	3899	1
X124_167	25207	5921	3
X155_185	25005	5518	8
X129_165	23810	4632	3
X159_178	25147	6385	11
X132_169	24696	5550	2
X125_191	23944	4235	4
X124_172	23733	4653	4
X144_184	23699	5195	6
X130_175	23655	4897	13
